"NR_all_29909.1","4V9Q|1|DV","4V9Q|1|DV,4V9Q|1|BV,4V9Q|1|DW,4V9Q|1|BW"
"NR_all_33389.1","2DU3|1|D","2DU3|1|D,2DU4|1|C,2DU5|1|D,2DU6|1|D"
"NR_all_23049.1","1KUQ|1|B","1KUQ|1|B,1F7Y|1|B,1DK1|1|B"
"NR_all_25521.1","5K77|1|X","5K77|1|X,5K77|1|V,5K77|1|Y,5K77|1|W,5K77|1|Z,4PEI|1|X,4PEI|1|V,4PEI|1|W,4PEI|1|Z,4PEI|1|Y"
"NR_all_17900.1","3J0E|1|B","3J0E|1|B,3J0D|1|C"
"NR_all_07798.1","4A3C|1|P","4A3C|1|P,4A3E|1|P"
"NR_all_63409.1","3HOZ|1|P","3HOZ|1|P"
"NR_all_10157.40","5J7L|1|DB","5J7L|1|DB,5JC9|1|DB,5J8A|1|DB,4YBB|1|DB,4WOI|1|BB,5IT8|1|DB,5J91|1|DB,4U27|1|BB,5J88|1|DB,4WF1|1|BB,4WOI|1|CB,4V9D|1|CB,4V9P|1|CB,4V9P|1|EB,4U24|1|BB,4V9O|1|AB,4WWW|1|RB,4U26|1|BB,4V9P|1|GB,4V7T|1|BB,4V9O|1|CB,4V6C|1|BB,4U25|1|BB,4V9O|1|EB,4V9P|1|AB,4U1U|1|BB,4V7U|1|BB,4U20|1|BB,4V7V|1|BB,4V9C|1|DB,4U1V|1|BB,4V52|1|BA,5J7L|1|CB,4V52|1|DA,4V7S|1|BB,5J8A|1|CB,4V9D|1|DB,4V50|1|DA,5JC9|1|CB,4V85|1|BB,4V57|1|DA,4V64|1|DA,4V64|1|BA,4V57|1|BA,4V6D|1|BB,4V54|1|BA,4V54|1|DA,4V53|1|BA,4V53|1|DA,4V6E|1|BB,4V9O|1|GB,4U27|1|DB,4V56|1|DA,4V55|1|BA,4WF1|1|DB,5J88|1|CB,4U25|1|DB,4V4Q|1|BA,4U1V|1|DB,4V55|1|DA,4V50|1|BA,4V56|1|BA,4V89|1|BB,4V4Q|1|DA,4YBB|1|CB,4U26|1|DB,4U1U|1|DB,4V9C|1|BB,4V7T|1|DB,4U20|1|DB,5IT8|1|CB,4U24|1|DB,4WWW|1|YB,5J91|1|CB,4V6C|1|DB,4V5Y|1|BA,4V6D|1|DB,4V7V|1|DB,4V5Y|1|DA,4V7S|1|DB,4V7U|1|DB,4V6E|1|DB,4V5B|1|CA,4V5B|1|AA,5J5B|1|DB,4V4H|1|BA,4V4H|1|DA,5J5B|1|CB,5AFI|1|B,5NWY|1|O,5MDV|1|3,5H5U|1|B,6H4N|1|B,5WFS|1|B,5MDZ|1|3,6ENU|1|B,5MDW|1|3,5MGP|1|B,6ENF|1|B,5U9G|1|02,5U9F|1|02,5UYM|1|02,6C4I|1|B,5WDT|1|B,5WE4|1|B,4V80|1|BB,4V80|1|DB,3JBV|1|a,5GAE|1|B,5MDY|1|3,5WFK|1|B,5LZD|1|B,3JCE|1|B,5O2R|1|B,5LZE|1|B,6BU8|1|02,5U4I|1|B,5KCR|1|1B,5LZA|1|B,5UYL|1|02,5WE6|1|B,5IQR|1|3,5WF0|1|B,6ENJ|1|B,3JBU|1|a,5L3P|1|B,5GAD|1|B,3J9Z|1|LB,6DNC|1|C,5JU8|1|BB,5JTE|1|BB,3JCJ|1|0,5UYQ|1|02,5GAH|1|B,6GWT|1|B,6GXM|1|B,6GBZ|1|B,6GC8|1|B,5GAG|1|B,5UYP|1|02,6GC0|1|B,3J9Y|1|B,5KPW|1|28,5UYK|1|02,5KPX|1|28,6GXO|1|B,6GXN|1|B,3JCD|1|B,5KPS|1|29,5KCS|1|1B,5UYN|1|02,4UY8|1|B,5NP6|1|Z,3J7Z|1|B,5KPV|1|28,3JA1|1|LB,5GAF|1|B,6GC4|1|B,6GXP|1|B,5LZF|1|B,3JCN|1|B,5LZC|1|B,5NCO|1|B,5LZB|1|B,4CSU|1|A,5AKA|1|A,3J8G|1|A,4V5H|1|BA,4V69|1|BA,5ADY|1|A,4V7B|1|BB,4V6M|1|B7,3J5L|1|B,4V7D|1|AB,4V7C|1|BB,6H58|1|BB,6H58|1|B,4V6K|1|AA,4V6T|1|BB,4V7A|1|BB,4V65|1|BA,4V66|1|BA,2RDO|1|A,2J28|1|A,4V6V|1|Ba,3BBX|1|A,4V6Q|1|BA,4V6R|1|BA,4V48|1|A9,4V6Z|1|BB,4V6Y|1|BB,4V75|1|BB,4V6N|1|AA,4V7I|1|A7,4V47|1|A9,4V72|1|BB,4V6S|1|AA,4V6L|1|BA,1C2X|1|C,4V6P|1|BA,4V6O|1|BA,4V79|1|BB,4V73|1|BB,4V4W|1|B9,4V4V|1|B9,4V70|1|BB,4V77|1|BB,4V76|1|BB,4V74|1|BB,4V78|1|BB,4V71|1|BB"
"NR_all_51674.1","3BT7|1|D","3BT7|1|D,3BT7|1|C"
"NR_all_97142.1","2LK3|1|A","2LK3|1|A"
"NR_all_33353.1","1D0U|14|A","1D0U|14|A"
"NR_all_74018.1","5TCU|1|D","5TCU|1|D,5TCU|1|E"
"NR_all_22323.2","6HCJ|1|q3","6HCJ|1|q3,6HCQ|1|q3,4UJE|1|AV,3J0O|1|V,3J0O|1|W,3J0O|1|Y,4UJD|1|BA,3J0L|1|V,3J0L|1|W,3J0L|1|Y,4UJC|1|AA,3J0P|1|Y"
"NR_all_77709.1","4V8Y|1|CW","4V8Y|1|CW,4V8Z|1|CW"
"NR_all_04887.1","5IMQ|1|5","5IMQ|1|5,5IMR|1|5"
"NR_all_12290.1","5MMM|1|z","5MMM|1|z"
"NR_all_19951.24","4YCO|1|D","4YCO|1|D,4YCO|1|E,4YCO|1|F,3FOZ|1|C,4WOI|1|DW,5NDK|1|X1,4V9H|1|AV,3L0U|1|A,2ZM5|1|C,5NDK|1|X4,4V5R|1|CV,4V9D|1|BV,4V5R|1|AV,4V5P|1|AV,4V5P|1|CV,2ZXU|1|C,4V6F|1|CC,5NDJ|1|X1,3FOZ|1|D,5NDJ|1|X4,4V5S|1|CV,4WQU|1|BW,4W2E|1|w,4V5Q|1|AV,4V5S|1|AV,4V5E|1|CV,4WQF|1|BW,6C5L|1|AV,5J4B|1|1y,6CFJ|1|1w,4V5E|1|AV,5W4K|1|1y,4V5J|1|CV,4V5Q|1|CV,6C5L|1|CV,5WIT|1|1w,6CFJ|1|1y,6CFJ|1|2w,5J4C|1|1w,4V6F|1|BC,5WIS|1|1y,5J4C|1|1y,4WQU|1|DW,4V5D|1|CV,4V5D|1|AV,6CFJ|1|2y,5WIS|1|1w,4WT1|1|1K,5J4B|1|1w,5NDK|1|W1,4V51|1|AW,4WT1|1|3K,5J4C|1|2w,4V5J|1|AV,4WQF|1|DW,4V9C|1|AV,5J4B|1|2w,5J4B|1|2y,5J4C|1|2y,5W4K|1|1w,5NDK|1|W4,4WOI|1|AX,4WQR|1|3K,4W2G|1|AW,5WIS|1|2y,5WIT|1|2w,5DOY|1|1y,5W4K|1|2y,2ZM5|1|D,4V9D|1|AV,4Y4P|1|1y,4Z3S|1|1y,4WSD|1|1K,5DOY|1|1w,4WT1|1|3L,4V5S|1|AW,4V51|1|CW,5DOY|1|2y,4W2I|1|AW,4WSD|1|3L,4V6F|1|BD,4WQR|1|3L,4W2I|1|CW,4Z3S|1|2y,4Z3S|1|1w,5W4K|1|2w,4V5S|1|CW,1VY4|1|AW,4WPO|1|BY,4Y4P|1|2y,4WRO|1|1K,4V5D|1|CW,4V5L|1|AV,4W2G|1|CW,4V5D|1|AW,4WSD|1|3K,4W2I|1|AY,5NDJ|1|W1,4W2F|1|AW,4Y4P|1|1w,4WT1|1|1L,4Z3S|1|2w,4W2I|1|CY,1VY4|1|AY,4V5E|1|CW,4V5D|1|AY,5NDJ|1|W4,4WZO|1|3K,4V5J|1|CW,4W2G|1|AY,4WPO|1|DY,4V5G|1|AV,4V5G|1|CV,4V5D|1|CY,5WIS|1|2w,4V5J|1|AW,4V5Q|1|AW,2ZXU|1|D,4V5Q|1|CW,5NDK|1|V4,4WQR|1|1K,4W2G|1|CY,4V6F|1|CD,5NDJ|1|V4,5WIT|1|1y,4WZO|1|3L,4V5G|1|AW,4W2F|1|AY,4Y4P|1|2w,6C5L|1|CW,6C5L|1|AW,5DOY|1|2w,1VY5|1|AW,4V6F|1|CB,1VY4|1|CY,5WIT|1|2y,4WSD|1|1L,1VY7|1|AY,5NDK|1|V1,4V5C|1|AW,4WRO|1|3L,4V5G|1|CW,4W2F|1|CW,4V5P|1|AW,4WRO|1|1L,4V5R|1|CW,4W2F|1|CY,4V5C|1|CY,4WPO|1|BW,4V5R|1|AW,4V5C|1|AY,4WRO|1|3K,4V6F|1|BB,4V5P|1|CW,5NDJ|1|V1,4P6F|1|QW,1VY5|1|AY,1VY7|1|CY,1VY4|1|CW,4V5E|1|AW,4V97|1|AW,4V4I|1|z,4P6F|1|XW,1VY5|1|CW,4V5C|1|CW,1VY5|1|CY,4WQR|1|1L,4V9I|1|AW,4V9I|1|CW,4WPO|1|DW,4V97|1|CW,4V5L|1|AW,4W2H|1|AY,4V9C|1|CV,4V8J|1|AW,4WQU|1|BY,4W2H|1|CY,4V8J|1|CW,4W2E|1|x,4V4Y|1|AD,4WQU|1|DY,4V4Y|1|AC,4WQF|1|BY,4WQF|1|DY,4V4Y|1|AB,6AZ1|1|2,6AZ1|1|4,3R8O|1|V,3R8N|1|V,5AFI|1|y,5UYM|1|Y,5UQ8|1|z,5WDT|1|y,5WFS|1|y,5WE4|1|y,2JL7|1|V,2JL5|1|V,2JL7|1|W,2JL5|1|W,3JCE|1|6,6BU8|1|Y,5UQ7|1|z,5UYL|1|Y,5IQR|1|4,5WE6|1|y,5WFK|1|y,5WF0|1|y,5UYK|1|Y,5OT7|1|2,5KPX|1|30,5KPW|1|30,3J73|1|S5,1VX2|1|5,3JCE|1|9,5KPV|1|30,5IQR|1|6,3JCD|1|8,3JCD|1|9,3JBV|1|V,4V69|1|AW,4V7D|1|BV,4V7D|1|BW,4V7C|1|AW,4V7C|1|AV,4V6K|1|BB,4V6K|1|BE,3J46|1|a,4V6L|1|AE,4V6L|1|AB"
"NR_all_95556.5","4V90|1|AV","4V90|1|AV,4WT8|1|C3,5J8B|1|y,5J8B|1|w,4WT8|1|D3,4V5A|1|CV+4V5A|1|CX,4V5A|1|AV+4V5A|1|AX,4WT8|1|C2,4V8U|1|AV,4V8U|1|CV,3J9Z|1|S7,4V68|1|AW,5AA0|1|BC,3BBV|1|z,5AA0|1|BE,5AA0|1|BD"
"NR_all_33313.1","4UJE|1|AW","4UJE|1|AW"
"NR_all_71445.1","5AJ0|1|Bv","5AJ0|1|Bv,5AJ0|1|Bw"
"NR_all_55021.1","4V8M|1|AB","4V8M|1|AB"
"NR_all_73958.1","3J7R|1|S5","3J7R|1|S5"
"NR_all_60942.1","5OT7|1|3","5OT7|1|3"
